唐山电信,#genre#
车迷,http://27.191.203.155:19999/rtp/239.254.201.162:6266
游戏风云,http://27.191.203.155:19999/rtp/239.254.201.163:6354
欢笑剧场,http://27.191.203.155:19999/rtp/239.254.201.164:6355
全纪实,http://27.191.203.155:19999/rtp/239.254.201.200:6356
动漫秀场,http://27.191.203.155:19999/rtp/239.254.201.165:6358
生活时尚,http://27.191.203.155:19999/rtp/239.254.201.166:6359
都市剧场,http://27.191.203.155:19999/rtp/239.254.201.167:6360
极速汽车,http://27.191.203.155:19999/rtp/239.254.201.168:6362
足球频道,http://27.191.203.155:19999/rtp/239.254.201.169:6341
体育赛事,http://27.191.203.155:19999/rtp/239.254.201.170:8176
央视台球,http://27.191.203.155:19999/rtp/239.254.201.171:7176
冰雪体育,http://27.191.203.155:19999/rtp/239.254.201.172:7244
马拉松,http://27.191.203.155:19999/rtp/239.254.201.173:7246
每日健身,http://27.191.203.155:19999/rtp/239.254.201.174:7245
其他,http://27.191.203.155:19999/rtp/239.254.201.175:7243
求索纪录,http://27.191.203.155:19999/rtp/239.254.201.176:7221
陶瓷,http://27.191.203.155:19999/rtp/239.254.201.21:7175
七彩戏剧,http://27.191.203.155:19999/rtp/239.254.201.180:7213
四海钓鱼,http://27.191.203.155:19999/rtp/239.254.201.185:6363
第一剧场高清,http://27.191.203.155:19999/rtp/239.254.201.218:7258
风云剧场高清,http://27.191.203.155:19999/rtp/239.254.201.219:7257
怀旧剧场高清,http://27.191.203.155:19999/rtp/239.254.201.220:7256
风云音乐高清,http://27.191.203.155:19999/rtp/239.254.201.221:7259
风云足球高清,http://27.191.203.155:19999/rtp/239.254.201.222:7251
凤凰卫视电影台,http://27.191.203.155:19999/rtp/239.254.201.1:5214
凤凰卫视中文台,http://27.191.203.155:19999/rtp/239.254.201.2:5226
凤凰卫视资讯台,http://27.191.203.155:19999/rtp/239.254.201.3:5227
九屏直播频道,http://27.191.203.155:19999/rtp/239.254.200.248:6000
河北邢台,#genre#
CCTV1综合,http://110.241.190.234:808/hls/1/index.m3u8
CCTV2财经,http://110.241.190.234:808/hls/2/index.m3u8
CCTV3综艺,http://110.241.190.234:808/hls/3/index.m3u8
CCTV4国际,http://110.241.190.234:808/hls/4/index.m3u8
CCTV5体育,http://110.241.190.234:808/hls/5/index.m3u8
CCTV6电影,http://110.241.190.234:808/hls/6/index.m3u8
CCTV7军事农业,http://110.241.190.234:808/hls/7/index.m3u8
CCTV8电视剧,http://110.241.190.234:808/hls/8/index.m3u8
CCTV9记录,http://110.241.190.234:808/hls/9/index.m3u8
CCTV10科教,http://110.241.190.234:808/hls/10/index.m3u8
CCTV11戏曲,http://110.241.190.234:808/hls/11/index.m3u8
CCTV12社会与法,http://110.241.190.234:808/hls/12/index.m3u8
CCTV13新闻,http://110.241.190.234:808/hls/13/index.m3u8
CCTV14少儿,http://110.241.190.234:808/hls/14/index.m3u8
CCTV15音乐,http://110.241.190.234:808/hls/15/index.m3u8
CCTV16外语,http://110.241.190.234:808/hls/16/index.m3u8
CCTV5+体育,http://110.241.190.234:808/hls/17/index.m3u8
河北卫视,http://110.241.190.234:808/hls/18/index.m3u8
湖南卫视,http://110.241.190.234:808/hls/19/index.m3u8
江苏卫视,http://110.241.190.234:808/hls/20/index.m3u8
北京卫视,http://110.241.190.234:808/hls/21/index.m3u8
天津卫视,http://110.241.190.234:808/hls/22/index.m3u8
深圳卫视,http://110.241.190.234:808/hls/23/index.m3u8
山东卫视,http://110.241.190.234:808/hls/24/index.m3u8
广东卫视,http://110.241.190.234:808/hls/25/index.m3u8
浙江卫视,http://110.241.190.234:808/hls/26/index.m3u8
黑龙江卫视,http://110.241.190.234:808/hls/27/index.m3u8
辽宁卫视,http://110.241.190.234:808/hls/28/index.m3u8
安徽卫视,http://110.241.190.234:808/hls/29/index.m3u8
湖北卫视,http://110.241.190.234:808/hls/30/index.m3u8
四川卫视,http://110.241.190.234:808/hls/31/index.m3u8
东方卫视,http://110.241.190.234:808/hls/32/index.m3u8
重庆卫视,http://110.241.190.234:808/hls/33/index.m3u8
东南卫视,http://110.241.190.234:808/hls/34/index.m3u8
广西卫视,http://110.241.190.234:808/hls/35/index.m3u8
吉林卫视,http://110.241.190.234:808/hls/36/index.m3u8
陕西卫视,http://110.241.190.234:808/hls/37/index.m3u8
山西卫视,http://110.241.190.234:808/hls/38/index.m3u8
内蒙古卫视,http://110.241.190.234:808/hls/39/index.m3u8
青海卫视,http://110.241.190.234:808/hls/40/index.m3u8
宁夏卫视,http://110.241.190.234:808/hls/41/index.m3u8
西藏卫视,http://110.241.190.234:808/hls/42/index.m3u8
新疆卫视,http://110.241.190.234:808/hls/43/index.m3u8
甘肃卫视,http://110.241.190.234:808/hls/44/index.m3u8
旅游卫视,http://110.241.190.234:808/hls/45/index.m3u8
卡酷少儿,http://110.241.190.234:808/hls/46/index.m3u8
云南卫视,http://110.241.190.234:808/hls/47/index.m3u8
河南卫视,http://110.241.190.234:808/hls/48/index.m3u8
贵州卫视,http://110.241.190.234:808/hls/49/index.m3u8
金鹰卡通,http://110.241.190.234:808/hls/50/index.m3u8
足球频道,http://110.241.190.234:808/hls/55/index.m3u8
怀旧剧场,http://110.241.190.234:808/hls/56/index.m3u8
风云剧场,http://110.241.190.234:808/hls/57/index.m3u8
河北经济,http://110.241.190.234:808/hls/58/index.m3u8
河北都市,http://110.241.190.234:808/hls/59/index.m3u8
河北影视,http://110.241.190.234:808/hls/60/index.m3u8
河北少儿,http://110.241.190.234:808/hls/61/index.m3u8
河北公共,http://110.241.190.234:808/hls/62/index.m3u8
河北农民,http://110.241.190.234:808/hls/63/index.m3u8

